                    x0           x1           x2           x3     
    3.03000n    127.1776m    699.7910m    127.1776m    699.7910m
    3.04000n    124.9916m    699.7754m    124.9916m    699.7754m
    3.05000n    120.4971m    699.7465m    120.4971m    699.7465m
    3.06000n    116.0027m    699.7175m    116.0027m    699.7175m
    3.07000n    111.5083m    699.6885m    111.5083m    699.6885m
    3.08000n    107.0138m    699.6596m    107.0138m    699.6596m
    3.09000n    102.5194m    699.6306m    102.5194m    699.6306m
    3.10000n     98.0250m    699.6016m     98.0250m    699.6016m
    3.11000n     93.5305m    699.5726m     93.5305m    699.5726m
    3.12000n     89.0361m    699.5437m     89.0361m    699.5437m
    3.13000n     84.5416m    699.5147m     84.5416m    699.5147m
    3.14000n     80.0472m    699.4857m     80.0472m    699.4857m
    3.15000n     39.1567m    692.0663m     39.1567m    692.0663m
    3.16000n     -1.3088m    695.5151m     -1.3088m    695.5151m
    3.17000n     -2.3894u    700.0030m     -2.3894u    700.0030m
    3.18000n      0.         699.9996m      0.         699.9996m
    3.19000n      0.         699.9995m      0.         699.9995m
    3.20000n      0.         699.9998m      0.         699.9998m
    3.21000n    740.7157n    700.0001m    740.7157n    700.0001m
    3.22000n    860.4425n    700.0001m    860.4425n    700.0001m
    3.23000n    702.8366n    700.0000m    702.8366n    700.0000m
    3.24000n    545.2307n    699.9999m    545.2307n    699.9999m
    3.25000n      0.         699.9999m      0.         699.9999m
    3.26000n      0.         699.9998m      0.         699.9998m
    3.27000n      0.         699.9997m      0.         699.9997m
    3.28000n      0.         699.9996m      0.         699.9996m
    3.29000n      0.         699.9995m      0.         699.9995m
    3.30000n      0.         699.9994m      0.         699.9994m
    3.31000n   -558.0109n    699.9993m   -558.0109n    699.9993m
    3.32000n   -516.4529n    699.9993m   -516.4529n    699.9993m
    3.33000n      0.         699.9993m      0.         699.9993m
    3.34000n      0.         699.9994m      0.         699.9994m
    3.35000n      0.         699.9994m      0.         699.9994m
    3.36000n      0.         699.9994m      0.         699.9994m
    3.37000n      0.         699.9995m      0.         699.9995m
    3.38000n      0.         699.9995m      0.         699.9995m
    3.39000n      0.         699.9995m      0.         699.9995m
    3.40000n      0.         699.9996m      0.         699.9996m
    3.41000n      0.         699.9996m      0.         699.9996m
    3.42000n      0.         699.9996m      0.         699.9996m
    3.43000n      0.         699.9996m      0.         699.9996m
    3.44000n      0.         699.9997m      0.         699.9997m
    3.45000n      0.         699.9997m      0.         699.9997m
    3.46000n      0.         699.9997m      0.         699.9997m
    3.47000n      0.         699.9998m      0.         699.9998m
    3.48000n      0.         699.9998m      0.         699.9998m
    3.49000n      0.         699.9998m      0.         699.9998m
    3.50000n      0.         699.9998m      0.         699.9998m
    3.51000n      0.         699.9999m      0.         699.9999m
    3.52000n      0.         699.9999m      0.         699.9999m
    3.53000n    503.8143n    699.9999m    503.8143n    699.9999m
    3.54000n    552.3984n    700.0000m    552.3984n    700.0000m
    3.55000n    600.9826n    700.0000m    600.9826n    700.0000m
    3.56000n    649.5667n    700.0000m    649.5667n    700.0000m
    3.57000n    698.1509n    700.0000m    698.1509n    700.0000m
    3.58000n    746.7350n    700.0001m    746.7350n    700.0001m
    3.59000n    795.3192n    700.0001m    795.3192n    700.0001m
    3.60000n    843.9033n    700.0001m    843.9033n    700.0001m
    3.61000n    892.4875n    700.0002m    892.4875n    700.0002m
    3.62000n    910.2988n    700.0002m    910.2988n    700.0002m
    3.63000n    756.1121n    700.0001m    756.1121n    700.0001m
    3.64000n    601.9255n    700.0000m    601.9255n    700.0000m
    3.65000n      0.         699.9999m      0.         699.9999m
    3.66000n      0.         699.9998m      0.         699.9998m
    3.67000n      0.         699.9997m      0.         699.9997m
    3.68000n      0.         699.9996m      0.         699.9996m
    3.69000n      0.         699.9995m      0.         699.9995m
    3.70000n      0.         699.9994m      0.         699.9994m
    3.71000n      0.         699.9993m      0.         699.9993m
    3.72000n      0.         699.9998m      0.         699.9998m
    3.73000n      0.         699.9998m      0.         699.9998m
    3.74000n      0.         699.9998m      0.         699.9998m
    3.75000n      0.         699.9998m      0.         699.9998m
    3.76000n      0.         699.9998m      0.         699.9998m
    3.77000n      0.         699.9998m      0.         699.9998m
    3.78000n      0.         699.9998m      0.         699.9998m
    3.79000n      0.         699.9998m      0.         699.9998m
    3.80000n      0.         699.9998m      0.         699.9998m
    3.81000n      0.         699.9998m      0.         699.9998m
    3.82000n      0.         699.9998m      0.         699.9998m
    3.83000n      0.         699.9998m      0.         699.9998m
    3.84000n      0.         699.9998m      0.         699.9998m
    3.85000n      0.         699.9998m      0.         699.9998m
    3.86000n      0.         699.9998m      0.         699.9998m
    3.87000n      0.         699.9998m      0.         699.9998m
    3.88000n      0.         699.9998m      0.         699.9998m
    3.89000n      0.         699.9998m      0.         699.9998m
    3.90000n      0.         699.9998m      0.         699.9998m
    3.91000n      0.         699.9998m      0.         699.9998m
    3.92000n      0.         699.9998m      0.         699.9998m
    3.93000n      0.         699.9998m      0.         699.9998m
    3.94000n      0.         699.9998m      0.         699.9998m
    3.95000n      0.         699.9998m      0.         699.9998m
    3.96000n      0.         699.9998m      0.         699.9998m
    3.97000n      0.         699.9998m      0.         699.9998m
    3.98000n      0.         699.9998m      0.         699.9998m
    3.99000n      0.         699.9998m      0.         699.9998m
    4.00000n      0.         699.9998m      0.         699.9998m
    4.01000n      0.         699.9998m      0.         699.9998m
    4.02000n      0.         699.9998m      0.         699.9998m
    4.03000n      0.         699.9998m      0.         699.9998m
    4.04000n      0.         699.9998m      0.         699.9998m
    4.05000n      0.         699.9998m      0.         699.9998m
    4.06000n      0.         699.9998m      0.         699.9998m
    4.07000n      0.         699.9998m      0.         699.9998m
    4.08000n      0.         699.9998m      0.         699.9998m
    4.09000n      0.         699.9998m      0.         699.9998m
    4.10000n      0.         699.9998m      0.         699.9998m
    4.11000n      0.         699.9998m      0.         699.9998m
    4.12000n      0.         699.9998m      0.         699.9998m
    4.13000n      0.         699.9998m      0.         699.9998m
    4.14000n      0.         699.9998m      0.         699.9998m
    4.15000n      0.         699.9998m      0.         699.9998m
    4.16000n      0.         699.9998m      0.         699.9998m
    4.17000n      0.         699.9998m      0.         699.9998m
    4.18000n      0.         699.9998m      0.         699.9998m
    4.19000n      0.         699.9998m      0.         699.9998m
    4.20000n      0.         699.9998m      0.         699.9998m
    4.21000n      0.         699.9998m      0.         699.9998m
    4.22000n      0.         699.9998m      0.         699.9998m
    4.23000n      0.         699.9998m      0.         699.9998m
    4.24000n      0.         699.9998m      0.         699.9998m
    4.25000n      0.         699.9998m      0.         699.9998m
    4.26000n      0.         699.9998m      0.         699.9998m
    4.27000n      0.         699.9998m      0.         699.9998m
    4.28000n      0.         699.9998m      0.         699.9998m
    4.29000n      0.         699.9998m      0.         699.9998m
    4.30000n      0.         699.9998m      0.         699.9998m
    4.31000n      0.         699.9998m      0.         699.9998m
    4.32000n      0.         699.9998m      0.         699.9998m
    4.33000n      0.         699.9998m      0.         699.9998m
    4.34000n      0.         699.9998m      0.         699.9998m
    4.35000n      0.         699.9998m      0.         699.9998m
    4.36000n      0.         699.9998m      0.         699.9998m
    4.37000n      0.         699.9998m      0.         699.9998m
    4.38000n      0.         699.9998m      0.         699.9998m
    4.39000n      0.         699.9998m      0.         699.9998m
    4.40000n      0.         699.9998m      0.         699.9998m
    4.41000n      0.         699.9998m      0.         699.9998m
    4.42000n      0.         699.9998m      0.         699.9998m
    4.43000n      0.         699.9998m      0.         699.9998m
    4.44000n      0.         699.9998m      0.         699.9998m
    4.45000n      0.         699.9998m      0.         699.9998m
    4.46000n      0.         699.9998m      0.         699.9998m
    4.47000n      0.         699.9998m      0.         699.9998m
    4.48000n      0.         699.9998m      0.         699.9998m
    4.49000n      0.         699.9998m      0.         699.9998m
    4.50000n      0.         699.9998m      0.         699.9998m
