            bl           blb          bit          we
2.42000n    665.4839m    665.2760m      0.           0.
2.43000n    665.4839m    665.2760m      0.           0.
2.44000n    665.4838m    665.2759m      0.           0.
2.45000n    665.4838m    665.2759m      0.           0.
2.46000n    665.4838m    665.2759m      0.           0.
2.47000n    665.4838m    665.2759m      0.           0.
2.48000n    665.4838m    665.2759m      0.           0.
2.49000n    665.4838m    665.2758m      0.           0.
2.50000n    665.4837m    665.2758m      0.           0.
2.51000n    665.4837m    665.2758m      0.           0.
2.52000n    665.4837m    665.2758m      0.           0.
2.53000n    665.4837m    665.2758m      0.           0.
2.54000n    665.4837m    665.2758m      0.           0.
2.55000n    665.4837m    665.2757m      0.           0.
2.56000n    665.4837m    665.2757m      0.           0.
2.57000n    665.4836m    665.2757m      0.           0.
2.58000n    665.4836m    665.2757m      0.           0.
2.59000n    665.4836m    665.2757m      0.           0.
2.60000n    665.4836m    665.2757m      0.           0.
2.61000n    665.4836m    665.2756m      0.           0.
2.62000n    665.4836m    665.2756m      0.           0.
2.63000n    665.4836m    665.2756m      0.           0.
2.64000n    665.4835m    665.2756m      0.           0.
2.65000n    665.4835m    665.2756m      0.           0.
2.66000n    665.4835m    665.2756m      0.           0.
2.67000n    665.4835m    665.2755m      0.           0.
2.68000n    665.4835m    665.2755m      0.           0.
2.69000n    665.4835m    665.2755m      0.           0.
2.70000n    665.4834m    665.2755m      0.           0.
2.71000n    665.4834m    665.2755m      0.           0.
2.72000n    665.4834m    665.2755m      0.           0.
2.73000n    665.4834m    665.2754m      0.           0.
2.74000n    665.4834m    665.2754m      0.           0.
2.75000n    665.4834m    665.2754m      0.           0.
2.76000n    665.4834m    665.2754m      0.           0.
2.77000n    665.4833m    665.2754m      0.           0.
2.78000n    665.4833m    665.2754m      0.           0.
2.79000n    665.4833m    665.2753m      0.           0.
2.80000n    665.4833m    665.2753m      0.           0.
2.81000n    665.4833m    665.2753m      0.           0.
2.82000n    665.4833m    665.2753m      0.           0.
2.83000n    665.4833m    665.2753m      0.           0.
2.84000n    665.4832m    665.2753m      0.           0.
2.85000n    665.4832m    665.2752m      0.           0.
2.86000n    665.5956m    665.3874m      0.           0.
2.87000n    665.9891m    662.9678m      0.           0.
2.88000n    666.2700m    647.1660m      0.           0.
2.89000n    666.2700m    626.3676m      0.           0.
2.90000n    666.2701m    605.6811m      0.           0.
2.91000n    666.2701m    585.0585m      0.           0.
2.92000n    666.2701m    564.5404m      0.           0.
2.93000n    666.2701m    544.0695m      0.           0.
2.94000n    666.2701m    523.5986m      0.           0.
2.95000n    666.2701m    503.8204m      0.           0.
2.96000n    666.2701m    484.3150m      0.           0.
2.97000n    666.2701m    464.8097m      0.           0.
2.98000n    666.2702m    445.3043m      0.           0.
2.99000n    666.2702m    425.7989m      0.           0.
3.00000n    666.2702m    406.2935m      0.           0.
3.01000n    666.2702m    386.7881m      0.           0.
3.02000n    666.2702m    367.2828m      0.           0.
3.03000n    666.2702m    347.7774m      0.           0.
3.04000n    666.2702m    329.0882m      0.           0.
3.05000n    666.2702m    313.5190m      0.           0.
3.06000n    666.2703m    297.9497m      0.           0.
3.07000n    666.2703m    282.3805m      0.           0.
3.08000n    666.2703m    266.8113m      0.           0.
3.09000n    666.2703m    251.2421m      0.           0.
3.10000n    666.2703m    235.6728m      0.           0.
3.11000n    666.2703m    220.1036m      0.           0.
3.12000n    666.2704m    204.5344m      0.           0.
3.13000n    666.2704m    188.9651m      0.           0.
3.14000n    666.2704m    173.3959m      0.           0.
3.15000n    665.9893m    162.1542m      0.           0.
