                    x0           x1           x2           x3
  267.40000m    694.3241m    267.4000m    694.3241m    267.4000m
  268.10000m    694.1647m    268.1000m    694.1647m    268.1000m
  268.80000m    694.0009m    268.8000m    694.0009m    268.8000m
  269.50000m    693.8327m    269.5000m    693.8327m    269.5000m
  270.20000m    693.6599m    270.2000m    693.6599m    270.2000m
  270.90000m    693.4824m    270.9000m    693.4824m    270.9000m
  271.60000m    693.3001m    271.6000m    693.3001m    271.6000m
  272.30000m    693.1128m    272.3000m    693.1128m    272.3000m
  273.00000m    692.9204m    273.0000m    692.9204m    273.0000m
  273.70000m    692.7228m    273.7000m    692.7228m    273.7000m
  274.40000m    692.5199m    274.4000m    692.5199m    274.4000m
  275.10000m    692.3114m    275.1000m    692.3114m    275.1000m
  275.80000m    692.0973m    275.8000m    692.0973m    275.8000m
  276.50000m    691.8774m    276.5000m    691.8774m    276.5000m
  277.20000m    691.6515m    277.2000m    691.6515m    277.2000m
  277.90000m    691.4195m    277.9000m    691.4195m    277.9000m
  278.60000m    691.1812m    278.6000m    691.1812m    278.6000m
  279.30000m    690.9365m    279.3000m    690.9365m    279.3000m
  280.00000m    690.6851m    280.0000m    690.6851m    280.0000m
  280.70000m    690.4269m    280.7000m    690.4269m    280.7000m
  281.40000m    690.1617m    281.4000m    690.1617m    281.4000m
  282.10000m    689.8894m    282.1000m    689.8894m    282.1000m
  282.80000m    689.6096m    282.8000m    689.6096m    282.8000m
  283.50000m    689.3222m    283.5000m    689.3222m    283.5000m
  284.20000m    689.0270m    284.2000m    689.0270m    284.2000m
  284.90000m    688.7238m    284.9000m    688.7238m    284.9000m
  285.60000m    688.4123m    285.6000m    688.4123m    285.6000m
  286.30000m    688.0923m    286.3000m    688.0923m    286.3000m
  287.00000m    687.7636m    287.0000m    687.7636m    287.0000m
  287.70000m    687.4258m    287.7000m    687.4258m    287.7000m
  288.40000m    687.0788m    288.4000m    687.0788m    288.4000m
  289.10000m    686.7223m    289.1000m    686.7223m    289.1000m
  289.80000m    686.3559m    289.8000m    686.3559m    289.8000m
  290.50000m    685.9794m    290.5000m    685.9794m    290.5000m
  291.20000m    685.5925m    291.2000m    685.5925m    291.2000m
  291.90000m    685.1948m    291.9000m    685.1948m    291.9000m
  292.60000m    684.7860m    292.6000m    684.7860m    292.6000m
  293.30000m    684.3658m    293.3000m    684.3658m    293.3000m
  294.00000m    683.9338m    294.0000m    683.9338m    294.0000m
  294.70000m    683.4896m    294.7000m    683.4896m    294.7000m
  295.40000m    683.0329m    295.4000m    683.0329m    295.4000m
  296.10000m    682.5631m    296.1000m    682.5631m    296.1000m
  296.80000m    682.0799m    296.8000m    682.0799m    296.8000m
  297.50000m    681.5828m    297.5000m    681.5828m    297.5000m
  298.20000m    681.0712m    298.2000m    681.0712m    298.2000m
  298.90000m    680.5448m    298.9000m    680.5448m    298.9000m
  299.60000m    680.0030m    299.6000m    680.0030m    299.6000m
  300.30000m    679.4451m    300.3000m    679.4451m    300.3000m
  301.00000m    678.8707m    301.0000m    678.8707m    301.0000m
  301.70000m    678.2790m    301.7000m    678.2790m    301.7000m
  302.40000m    677.6694m    302.4000m    677.6694m    302.4000m
  303.10000m    677.0412m    303.1000m    677.0412m    303.1000m
  303.80000m    676.3936m    303.8000m    676.3936m    303.8000m
  304.50000m    675.7258m    304.5000m    675.7258m    304.5000m
  305.20000m    675.0369m    305.2000m    675.0369m    305.2000m
  305.90000m    674.3262m    305.9000m    674.3262m    305.9000m
  306.60000m    673.5924m    306.6000m    673.5924m    306.6000m
  307.30000m    672.8347m    307.3000m    672.8347m    307.3000m
  308.00000m    672.0518m    308.0000m    672.0518m    308.0000m
  308.70000m    671.2426m    308.7000m    671.2426m    308.7000m
  309.40000m    670.4058m    309.4000m    670.4058m    309.4000m
  310.10000m    669.5399m    310.1000m    669.5399m    310.1000m
  310.80000m    668.6434m    310.8000m    668.6434m    310.8000m
  311.50000m    667.7146m    311.5000m    667.7146m    311.5000m
  312.20000m    666.7518m    312.2000m    666.7518m    312.2000m
  312.90000m    665.7530m    312.9000m    665.7530m    312.9000m
  313.60000m    664.7159m    313.6000m    664.7159m    313.6000m
  314.30000m    663.6382m    314.3000m    663.6382m    314.3000m
