             q           qb           q2           q2b    
2.40000n    -14.7397u    699.9931m    -15.1773m    699.9998m
2.41000n     -8.9651u    699.9958m    -15.1755m    699.9998m
2.42000n     -3.1904u    699.9985m    -15.1736m    699.9998m
2.43000n      2.5843u    700.0012m    -15.1718m    699.9998m
2.44000n      8.3590u    700.0039m    -15.1700m    699.9998m
2.45000n     14.1337u    700.0066m    -15.1682m    699.9998m
2.46000n     19.9084u    700.0093m    -15.1663m    699.9998m
2.47000n     25.6831u    700.0120m    -15.1645m    699.9999m
2.48000n     26.6750u    700.0124m    -15.1624m    699.9999m
2.49000n     23.9867u    700.0112m    -15.1601m    699.9998m
2.50000n     21.2985u    700.0099m    -15.1579m    699.9998m
2.51000n     18.6102u    700.0086m    -15.1556m    699.9998m
2.52000n     15.9220u    700.0074m    -15.1533m    699.9998m
2.53000n     13.2337u    700.0061m    -15.1510m    699.9998m
2.54000n     10.5455u    700.0049m    -15.1487m    699.9997m
2.55000n      7.8572u    700.0036m    -15.1464m    699.9997m
2.56000n      5.1690u    700.0023m    -15.1442m    699.9997m
2.57000n      2.4807u    700.0011m    -15.1419m    699.9997m
2.58000n      0.         699.9998m    -15.1396m    699.9997m
2.59000n     -2.8958u    699.9985m    -15.1373m    699.9997m
2.60000n     -5.5840u    699.9973m    -15.1350m    699.9996m
2.61000n     -8.2723u    699.9960m    -15.1327m    699.9996m
2.62000n    -10.9605u    699.9947m    -15.1305m    699.9996m
2.63000n    -13.6488u    699.9935m    -15.1282m    699.9996m
2.64000n    -16.3370u    699.9922m    -15.1259m    699.9996m
2.65000n    -19.0253u    699.9909m    -15.1236m    699.9995m
2.66000n    -21.7135u    699.9897m    -15.1213m    699.9995m
2.67000n    -24.4018u    699.9884m    -15.1190m    699.9995m
2.68000n    -27.0900u    699.9871m    -15.1167m    699.9995m
2.69000n    -25.3036u    699.9880m    -15.1152m    699.9995m
2.70000n    -22.1295u    699.9895m    -15.1140m    699.9995m
2.71000n    -18.9554u    699.9910m    -15.1127m    699.9996m
2.72000n    -15.7812u    699.9925m    -15.1114m    699.9996m
2.73000n    -12.6071u    699.9940m    -15.1101m    699.9996m
2.74000n     -9.4330u    699.9955m    -15.1089m    699.9997m
2.75000n     -6.2588u    699.9970m    -15.1076m    699.9997m
2.76000n     -3.0847u    699.9985m    -15.1063m    699.9997m
2.77000n      0.         700.0000m    -15.1050m    699.9998m
2.78000n      3.2636u    700.0015m    -15.1037m    699.9998m
2.79000n      6.4377u    700.0030m    -15.1025m    699.9998m
2.80000n      9.6118u    700.0045m    -15.1012m    699.9999m
2.81000n     12.7860u    700.0059m    -15.0999m    699.9999m
2.82000n     15.9601u    700.0074m    -15.0986m    699.9999m
2.83000n     19.1343u    700.0089m    -15.0974m    700.0000m
2.84000n     22.3084u    700.0104m    -15.0961m    700.0000m
2.85000n     25.4825u    700.0119m    -15.0948m    700.0001m
2.86000n     86.2800m    714.0572m    -11.6826m    704.7193m
2.87000n    362.6998m    710.3828m    -17.1275m    681.8472m
2.88000n    461.4660m    701.2072m    -15.5310m    655.7805m
2.89000n    482.5595m    700.4630m    -12.9163m    664.7919m
2.90000n    496.5218m    700.3429m    -11.6060m    671.7782m
2.91000n    508.3799m    700.2516m    -10.4488m    677.7752m
2.92000n    515.5995m    700.2080m     -9.6485m    681.3843m
2.93000n    522.8191m    700.1645m     -8.8481m    684.9933m
2.94000n    528.4847m    700.1338m     -8.1628m    687.6618m
2.95000n    532.2791m    700.1186m     -7.6160m    689.1976m
2.96000n    536.0734m    700.1034m     -7.0691m    690.7335m
2.97000n    539.8678m    700.0882m     -6.5223m    692.2693m
2.98000n    542.1230m    700.0825m     -6.0494m    693.0160m
2.99000n    544.2547m    700.0775m     -5.5825m    693.6994m
3.00000n    546.3864m    700.0725m     -5.1155m    694.3828m
3.01000n    548.5181m    700.0675m     -4.6485m    695.0661m
3.02000n    550.0567m    700.0631m     -4.2490m    695.4660m
3.03000n    551.3825m    700.0588m     -3.8736m    695.7643m
3.04000n    552.7084m    700.0546m     -3.4983m    696.0625m
3.05000n    554.0342m    700.0503m     -3.1229m    696.3607m
3.06000n    555.3600m    700.0461m     -2.7476m    696.6590m
3.07000n    556.5383m    700.0427m     -2.4097m    696.9101m
3.08000n    557.4300m    700.0410m     -2.1447m    697.0696m
3.09000n    558.3217m    700.0393m     -1.8797m    697.2291m
3.10000n    559.2134m    700.0376m     -1.6147m    697.3887m
3.11000n    560.1050m    700.0359m     -1.3497m    697.5482m
3.12000n    560.9967m    700.0342m     -1.0847m    697.7078m
3.13000n    561.8884m    700.0326m   -819.7097u    697.8673m
3.14000n    562.6049m    700.0269m   -618.5376u    697.9295m
3.15000n    510.0273m    693.8062m    -15.3218m    696.6301m
3.16000n    119.3741m    677.7802m    -35.9310m    693.5650m
3.17000n    -16.6682u    700.0302m    -31.1421m    699.9959m
3.18000n     -2.2659u    699.9985m    -31.1528m    700.0000m
3.19000n     -1.8419u    699.9977m    -31.1489m    700.0003m
3.20000n      3.9111u    700.0038m    -31.1453m    699.9999m
3.21000n      5.1058u    700.0053m    -31.1412m    699.9998m
3.22000n      1.2871u    700.0016m    -31.1365m    699.9999m
3.23000n     -5.5199u    699.9949m    -31.1315m    700.0003m
3.24000n   -584.7757n    699.9993m    -31.1281m    700.0002m
3.25000n      4.3504u    700.0037m    -31.1246m    700.0000m
3.26000n      2.7175u    700.0025m    -31.1202m    700.0000m
3.27000n     -1.6936u    699.9987m    -31.1153m    700.0000m
3.28000n     -4.8696u    699.9960m    -31.1107m    700.0001m
3.29000n     -1.7133u    699.9986m    -31.1071m    700.0001m
3.30000n      1.4430u    700.0011m    -31.1034m    700.0001m
3.31000n      4.5992u    700.0036m    -31.0998m    700.0002m
3.32000n      4.1010u    700.0033m    -31.0955m    700.0002m
3.33000n      2.2901u    700.0019m    -31.0911m    700.0001m
3.34000n      0.         700.0004m    -31.0866m    700.0001m
3.35000n     -1.3317u    699.9990m    -31.0822m    700.0000m
3.36000n     -3.1426u    699.9976m    -31.0777m    700.0000m
3.37000n     -4.9535u    699.9962m    -31.0732m    700.0000m
3.38000n     -3.4994u    699.9973m    -31.0693m    700.0000m
3.39000n     -1.7024u    699.9987m    -31.0655m    700.0001m
3.40000n      0.         700.0001m    -31.0617m    700.0001m
3.41000n      1.8918u    700.0015m    -31.0578m    700.0002m
3.42000n      3.6888u    700.0028m    -31.0540m    700.0002m
3.43000n    241.1943u    700.4975m    -28.9993m    700.2427m
3.44000n    617.1827u    702.6216m     -5.9487m    701.2039m
3.45000n    815.8797u    699.2535m     10.7725m    699.4631m
3.46000n    179.6650u    699.6496m      3.1849m    699.8544m
3.47000n     52.1314u    699.8829m    923.4597u    699.9653m
3.48000n     79.1655u    699.9749m    277.1202u    699.9820m
3.49000n     58.2824u    699.9955m     58.9185u    699.9930m
3.50000n     15.7166u    699.9879m      2.3656u    700.0027m
3.51000n      6.2282u    699.9898m    -22.5111u    700.0048m
3.52000n     21.8555u    699.9989m    -23.3359u    700.0010m
3.53000n     37.4827u    700.0080m    -24.1608u    699.9973m
3.54000n     49.8403u    700.0153m    -24.2401u    699.9943m
3.55000n     36.7802u    700.0094m    -18.5238u    699.9964m
3.56000n     23.7201u    700.0035m    -12.8075u    699.9985m
3.57000n     10.6600u    699.9975m     -7.0912u    700.0006m
3.58000n     -2.4001u    699.9916m     -1.3749u    700.0027m
3.59000n    -15.4602u    699.9857m      4.3414u    700.0048m
3.60000n    -15.5351u    699.9861m      4.4386u    700.0047m
3.61000n     -8.8212u    699.9898m      1.5979u    700.0034m
3.62000n     -2.1072u    699.9935m     -1.2427u    700.0022m
3.63000n      4.6068u    699.9973m     -4.0834u    700.0009m
3.64000n     11.3208u    700.0010m     -6.9240u    699.9997m
3.65000n     18.0348u    700.0047m     -9.7647u    699.9984m
3.66000n     24.7487u    700.0084m    -12.6054u    699.9971m
3.67000n     31.4627u    700.0122m    -15.4460u    699.9959m
3.68000n     38.1767u    700.0159m    -18.2867u    699.9946m
3.69000n     20.6389u    700.0068m     -9.9401u    699.9975m
3.70000n      2.4592u    699.9973m     -1.2974u    700.0006m
3.71000n    -15.7206u    699.9879m      7.3453u    700.0036m
3.72000n    553.0149u    700.5016m      5.2315m    700.1927m
3.73000n     -1.6516m    704.4475m     39.5510m    701.9708m
3.74000n     31.2035u    699.4099m     36.1403m    699.7887m
3.75000n   -166.5866u    699.6577m     32.3730m    699.8303m
3.76000n   -272.2370u    699.1362m     24.5656m    699.6116m
3.77000n    -65.3624u    699.0935m     14.1007m    699.5934m
3.78000n    -29.6658u    699.5004m      6.9950m    699.7882m
3.79000n    -17.8777u    699.7873m      3.3957m    699.9091m
3.80000n      4.2179u    699.8884m      1.4710m    699.9444m
3.81000n     -9.2942u    699.9662m    602.1517u    699.9935m
3.82000n     -3.1324u    699.9824m    305.0581u    699.9942m
3.83000n      6.4330u    699.9879m    106.8749u    699.9865m
3.84000n      3.9041u    699.9928m     61.0225u    699.9921m
3.85000n      0.         699.9976m     31.3574u    699.9992m
3.86000n     -3.7240u    700.0025m      1.6923u    700.0062m
3.87000n     -5.4664u    700.0050m    -15.0841u    700.0094m
3.88000n     -3.5473u    700.0033m     -9.0808u    700.0061m
3.89000n     -1.6282u    700.0017m     -3.0776u    700.0028m
3.90000n      0.         700.0000m      2.9256u    699.9995m
3.91000n      2.2101u    699.9984m      8.9289u    699.9962m
3.92000n      4.1292u    699.9967m     14.9321u    699.9929m
3.93000n      5.6364u    699.9954m     19.7263u    699.9903m
3.94000n      4.0986u    699.9966m     15.5831u    699.9929m
3.95000n      2.5609u    699.9977m     11.4399u    699.9956m
3.96000n      1.0231u    699.9989m      7.2967u    699.9983m
3.97000n   -514.7039n    700.0000m      3.1535u    700.0009m
3.98000n     -2.0525u    700.0012m   -989.7160n    700.0036m
3.99000n     -3.5903u    700.0024m     -5.1329u    700.0063m
4.00000n     -5.1280u    700.0035m     -9.2761u    700.0090m
4.01000n    179.3998u    700.3566m      2.6551m    700.1754m
4.02000n     41.0467u    709.8846m     48.9656m    704.5789m
4.03000n     -5.2544u    701.5038m     80.8132m    700.6391m
4.04000n      2.6041u    700.6945m     90.2178m    700.2990m
4.05000n      0.         700.3119m     94.8126m    700.1331m
4.06000n      2.4736u    700.1140m     97.0541m    700.0497m
4.07000n    981.9775n    700.0556m     97.7952m    700.0242m
4.08000n     -1.3369u    700.0238m     98.2494m    700.0098m
4.09000n   -857.1205n    700.0113m     98.3882m    700.0045m
4.10000n      0.         700.0040m     98.4418m    700.0017m
4.11000n      1.6133u    699.9967m     98.4954m    699.9989m
4.12000n    994.0660n    699.9979m     98.4991m    699.9993m
4.13000n      0.         699.9994m     98.5006m    699.9998m
4.14000n      0.         700.0008m     98.5021m    700.0003m
4.15000n     -1.1068u    700.0023m     98.5036m    700.0009m
4.16000n     -1.2137u    700.0026m     98.5040m    700.0009m
4.17000n   -893.3637n    700.0018m     98.5037m    700.0007m
4.18000n   -572.9925n    700.0011m     98.5033m    700.0004m
4.19000n      0.         700.0004m     98.5030m    700.0001m
4.20000n      0.         699.9997m     98.5027m    699.9999m
4.21000n      0.         699.9990m     98.5023m    699.9996m
4.22000n    708.4920n    699.9983m     98.5020m    699.9993m
4.23000n      1.0289u    699.9976m     98.5017m    699.9991m
4.24000n      1.3492u    699.9969m     98.5013m    699.9988m
4.25000n    919.4234n    699.9978m     98.5017m    699.9992m
4.26000n      0.         699.9991m     98.5022m    699.9997m
4.27000n      0.         700.0004m     98.5027m    700.0002m
4.28000n   -833.8548n    700.0017m     98.5032m    700.0007m
4.29000n    362.9769u    703.2535m    109.6580m    701.6601m
4.30000n    155.4033u    722.7373m    246.3319m    711.3405m
4.31000n    505.7323u    730.7055m    384.0473m    716.5224m
4.32000n    -15.6756u    739.1445m    461.6743m    722.6335m
4.33000n    -23.2391u    738.8489m    485.8448m    723.2299m
4.34000n    -54.5612u    737.7686m    499.8465m    723.2665m
4.35000n    -17.1786u    736.7161m    508.5296m    723.1272m
4.36000n    -53.0938u    735.7422m    515.1757m    722.9122m
4.37000n    -29.9945u    734.9276m    519.8430m    722.7035m
4.38000n      0.         734.1315m    524.2785m    722.4955m
4.39000n     -4.5664u    733.5157m    527.4221m    722.2929m
4.40000n    -16.5518u    732.9384m    530.2896m    722.0916m
4.41000n    -28.5373u    732.3611m    533.1570m    721.8902m
4.42000n    -38.4387u    731.8014m    535.9247m    721.6933m
4.43000n    -28.1213u    731.4128m    537.7243m    721.5398m
4.44000n    -17.8039u    731.0242m    539.5239m    721.3863m
4.45000n     -7.4865u    730.6356m    541.3235m    721.2329m
4.46000n      2.8308u    730.2470m    543.1231m    721.0794m
4.47000n     13.1482u    729.8584m    544.9227m    720.9259m
4.48000n      9.6108u    729.5854m    546.1837m    720.8011m
4.49000n      3.7732u    729.3315m    547.3552m    720.6812m
4.50000n     -2.0644u    729.0777m    548.5268m    720.5612m
4.51000n     -7.9020u    728.8238m    549.6984m    720.4412m
4.52000n    -13.7396u    728.5700m    550.8700m    720.3212m
4.53000n    -19.5772u    728.3161m    552.0415m    720.2012m
4.54000n    -25.4148u    728.0623m    553.2131m    720.0812m
4.55000n    -29.2369u    727.8246m    554.3114m    719.9681m
4.56000n    -24.4628u    727.6557m    555.0969m    719.8842m
